date,area,area_type,unvaccinated_cases,vaccinated_cases,unvaccinated_hosp,vaccinated_hosp,unvaccinated_deaths,vaccinated_deaths,population_unvaccinated,population_vaccinated,unvaccinated_cases_per_100k,vaccinated_cases_per_100k,unvaccinated_hosp_per_100k,vaccinated_hosp_per_100k,unvaccinated_deaths_per_100k,vaccinated_deaths_per_100k
2021-02-01,California,State,14595,24,781,1,12,0,36190068,339372,,,,,,
2021-02-02,California,State,12076,21,599,0,15,0,36073331,373679,,,,,,
2021-02-03,California,State,11009,25,557,0,18,0,35938325,410320,,,,,,
2021-02-04,California,State,9661,17,487,0,19,0,35774605,431692,,,,,,
2021-02-05,California,State,8984,17,507,1,27,0,35611210,447446,,,,,,
2021-02-06,California,State,6387,12,375,1,32,0,35507409,460494,,,,,,
2021-02-07,California,State,4911,8,375,0,45,0,35449430,465455,27.2512945100346,3.80579985482715,1.48340084130307,0.0920758029393665,0.0677020758866927,0.0
2021-02-08,California,State,8984,25,465,1,37,0,35333157,503581,25.0723623220454,3.54603189102505,1.36051891913957,0.0851047653846012,0.0780327344409914,0.0
2021-02-09,California,State,7387,15,429,0,38,0,35194037,544831,23.2681462487523,3.12023361372609,1.29689177581012,0.0786613516065401,0.087677190477304,0.0
2021-02-10,California,State,7079,29,395,0,47,0,35042985,587459,21.7663290629249,2.99109019887832,1.23644065791117,0.072953419484837,0.0998773363627556,0.0
2021-02-11,California,State,6242,30,334,1,48,0,34880775,624724,20.4672713182057,3.10994478018636,1.17952818258359,0.0914689641231282,0.112219000704133,0.0
2021-02-12,California,State,5867,19,374,2,60,0,34723628,662121,19.2775280937152,2.97744456289496,1.13014853006884,0.107878426191846,0.126303457856255,0.0
2021-02-13,California,State,4233,11,276,0,46,0,34608296,678566,18.4526359146456,2.88423360018459,1.09304923387651,0.0842112000053895,0.132503324801495,0.0
2021-02-14,California,State,3363,6,234,0,60,0,34539134,683799,17.8493183992395,2.82037766737218,1.03691904129055,0.0835667456999164,0.138972795322546,0.0
2021-02-15,California,State,4988,25,300,1,62,0,34410376,728205,16.2571395823831,2.6483908083183,0.972298089888435,0.0784708387649867,0.14987173802294,0.0
2021-02-16,California,State,5369,22,326,1,57,0,34260674,776515,15.4867272688714,2.61240469092217,0.933598512560327,0.0919860806662736,0.158449055280449,0.0
2021-02-17,California,State,4808,22,262,0,56,0,34094911,834892,14.610475362228,2.30996515545894,0.882410700110473,0.0855542650169979,0.162990390476246,0.0
2021-02-18,California,State,4129,22,238,0,60,0,33919524,899888,13.7960999351625,2.01612391129309,0.846541529128938,0.0634999657100185,0.168887140885922,0.0
2021-02-19,California,State,3904,17,238,1,73,0,33743429,984402,13.0370356170467,1.81400920123515,0.79338198176091,0.0435362208296436,0.17527222009019,0.0
2021-02-20,California,State,2922,13,203,0,53,0,33616413,1021240,12.5291688404029,1.77655175500932,0.765357429079998,0.041965789488409,0.178909204687773,0.0
2021-02-21,California,State,2499,15,180,1,53,1,33562992,1038601,12.1813590737935,1.87064824976785,0.743591121350053,0.0550190661696428,0.176214495843687,0.0137547665424107
2021-02-22,California,State,4333,36,245,0,69,0,33437473,1104484,11.9472459622088,1.90134035440984,0.722884428839122,0.0388028643757111,0.17986663388964,0.012934288125237
2021-02-23,California,State,3769,22,221,1,56,0,33306582,1195021,11.3079322107736,1.75729129446261,0.680689137403189,0.035863087642094,0.180144573225797,0.0119543625473647
2021-02-24,California,State,3636,22,215,0,67,0,33164939,1313890,10.8513908102082,1.59830731644202,0.663351137175316,0.032618516662082,0.185652168910754,0.0108728388873607
2021-02-25,California,State,3212,30,198,2,59,0,33015687,1441731,10.503664948293,1.5358521903779,0.649042118329127,0.0495436190444483,0.186058740587683,0.00990872380888965
2021-02-26,California,State,3158,33,208,2,57,0,32863353,1574375,10.2280668508953,1.55163613678898,0.639009659178721,0.0544433732206658,0.179965985646252,0.00907389553677763
2021-02-27,California,State,2411,13,153,0,59,0,32767889,1652879,10.0350856116661,1.477940697932,0.619072967615164,0.0518575683484912,0.183106089012936,0.00864292805808186
2021-02-28,California,State,2061,15,164,2,63,1,32714903,1698951,9.86007595900341,1.43786203537191,0.613088868310044,0.0588598494011893,0.187769382744529,0.00840854991445562
2021-03-01,California,State,3546,27,224,1,46,0,32634109,1766648,9.53997461455349,1.30998688719299,0.605413889410704,0.064690710478666,0.178165909609658,0.00808633880983325
2021-03-02,California,State,3053,37,168,3,58,0,32497136,1892420,9.26543188298193,1.33615763338552,0.584666907262228,0.0754891318296905,0.179796063962595,0.00754891318296905
2021-03-03,California,State,2982,42,147,3,37,1,32365353,2033549,9.01448974949054,1.38392815431825,0.557033054098666,0.0913252081529807,0.167286471872737,0.0140500320235355
2021-03-04,California,State,2765,37,163,2,50,1,32230137,2186021,8.85417981845465,1.33314625718862,0.543856559733874,0.0849553987424118,0.163999125592122,0.0196050920174796
2021-03-05,California,State,2747,30,212,2,45,0,32095063,2319016,8.70850448244953,1.23820990084957,0.547925837868406,0.0800832274181315,0.159348050330536,0.0184807447887996
2021-03-06,California,State,2079,21,136,1,41,0,32007559,2395331,8.58413298112308,1.24647252747712,0.541836293822254,0.0834957673908115,0.151749868121554,0.0178919501551739
